#{"t_start": 1764679826.621898, "env_id": "None"}
r,l,t
-32.295061,9,45.75295
-29.868596,11,45.920582
-29.678633,10,46.084327
-10.339741,14,46.204434
-32.288266,9,46.329852
-28.765438,10,46.456671
-33.31418,8,46.621146
-30.812758,9,46.737747
-6.367627,17,46.894137
-26.592724,10,47.008157
-33.349212,8,47.185324
-38.391434,6,47.337959
-32.984505,9,47.468992
-7.126139,18,47.622433
-20.41127,15,47.784618
-30.689314,10,47.963994
-41.050363,5,48.076313
-23.32769,11,48.252048
-12.324651,16,48.413987
-31.43213,9,48.603425
16.798828,25,48.922965
-35.582907,7,49.046635
5.39864,22,49.294451
-26.030825,12,49.426499
-23.531218,12,49.545807
22.402169,27,49.942557
2.770036,17,50.099478
-40.488165,5,50.223926
2.526385,22,50.431252
-15.579178,13,50.60123
-37.584901,7,50.722931
-42.472515,4,50.850925
-32.824747,8,51.009223
-32.31165,9,51.141297
-33.188813,8,51.276036
-18.961658,15,51.427263
-24.030549,12,51.570627
-30.285904,9,51.717568
-4.737737,18,51.904568
-37.604182,7,52.011918
-6.527563,17,52.294411
-12.346311,15,52.562931
-14.999718,15,52.752052
-35.691814,7,52.876046
0.726977,24,53.236853
-25.675621,10,53.439507
-35.219307,8,53.616823
-21.77689,13,53.751617
-33.991054,8,53.858183
-22.597741,11,53.992302
-33.758505,8,54.160265
-7.989571,18,54.359347
-35.663001,8,54.503482
-5.402644,19,54.68988
-7.235988,17,54.879417
-22.800329,12,55.019087
-24.984015,13,55.259098
-27.939605,10,55.4556
-27.682922,12,55.650139
-13.31382,17,55.84481
1.197533,20,56.034997
-27.949308,11,56.186344
-25.573121,11,56.336198
-23.336657,12,56.542212
-19.716769,15,56.720338
-36.514221,7,56.875438
-28.599523,11,56.987738
-1.817269,18,57.20561
-28.6829,11,57.379345
-39.296923,6,57.536083
-35.076086,7,57.699813
-40.009922,5,57.826209
-38.642835,6,57.922523
-8.184397,18,58.093657
-11.101071,15,58.313935
4.142798,25,58.613598
-36.08678,7,58.744824
-6.137996,17,58.915022
-15.854411,15,59.060076
-8.653338,17,59.225256
-39.409514,6,59.609342
-26.90835,11,59.737457
-24.421897,12,59.96036
-27.441844,11,60.071154
-35.10822,7,60.163212
-33.546926,8,60.266818
29.371756,33,60.454924
2.229295,19,60.625023
-43.53438,4,60.725394
-33.292315,8,60.904602
-39.571587,5,61.012679
-11.530537,18,61.158411
-35.940065,7,61.322109
-24.046784,12,61.510692
-30.047294,9,61.667245
-36.691198,7,61.828657
-18.380584,13,61.951643
-35.803801,7,62.101148
-24.447088,13,62.28389
-21.739236,13,62.437651
72.673829,40,62.768372
-28.199401,11,62.957943
-36.097797,7,63.062561
-29.011433,10,63.225319
-9.232902,17,63.380125
-27.812542,10,63.591245
44.386522,32,64.0058
-23.410644,13,64.193163
-28.687837,9,64.348249
-29.2874,9,64.465633
-16.024543,17,64.728228
-15.681653,16,65.001577
-39.333551,6,65.131935
-28.967088,10,65.32436
-32.847665,9,65.445158
-36.9325,7,65.555192
29.290734,29,65.897504
-19.871808,14,66.142692
5.535756,22,66.36546
-29.942306,10,66.570376
-24.82896,10,66.766783
-36.485093,7,66.873749
-7.251444,16,67.131134
-32.185649,9,67.241546
-19.012026,13,67.413985
-28.196914,9,67.60353
-0.481466,19,67.841411
-19.728642,15,67.962107
-42.815225,4,68.094448
-11.36077,16,68.338162
